State,Date,covidDeaths
Delaware,2020-12-19,65
Delaware,2020-12-26,65
Delaware,2021-01-02,55
Delaware,2021-01-09,56
Delaware,2021-01-16,60
Delaware,2021-01-23,66
Delaware,2021-01-30,47
Delaware,2021-02-06,28
Delaware,2021-02-13,27
Delaware,2021-02-20,10
Delaware,2021-02-27,52
Delaware,2021-03-06,46
Delaware,2021-03-13,40
Delaware,2021-03-20,22
Delaware,2021-03-27,18
Delaware,2021-04-03,21
District of Columbia,2020-02-01,0
District of Columbia,2020-02-08,0
District of Columbia,2020-02-15,0
District of Columbia,2020-02-22,0
District of Columbia,2020-02-29,0
District of Columbia,2020-03-07,0
District of Columbia,2020-03-14,0
District of Columbia,2020-03-21,0
District of Columbia,2020-03-28,4
District of Columbia,2020-04-04,17
District of Columbia,2020-04-11,26
District of Columbia,2020-04-18,44
District of Columbia,2020-04-25,74
District of Columbia,2020-05-02,75
District of Columbia,2020-05-09,71
District of Columbia,2020-05-16,64
District of Columbia,2020-05-23,52
District of Columbia,2020-05-30,35
District of Columbia,2020-06-06,21
District of Columbia,2020-06-13,28
District of Columbia,2020-06-20,20
District of Columbia,2020-06-27,17
District of Columbia,2020-07-04,9
District of Columbia,2020-07-11,11
District of Columbia,2020-07-18,10
District of Columbia,2020-07-25,3
District of Columbia,2020-08-01,4
District of Columbia,2020-08-08,5
District of Columbia,2020-08-15,7
District of Columbia,2020-08-22,7
District of Columbia,2020-08-29,1
District of Columbia,2020-09-05,6
District of Columbia,2020-09-12,5
District of Columbia,2020-09-19,3
District of Columbia,2020-09-26,5
District of Columbia,2020-10-03,5
District of Columbia,2020-10-10,7
District of Columbia,2020-10-17,5
District of Columbia,2020-10-24,1
District of Columbia,2020-10-31,4
District of Columbia,2020-11-07,8
District of Columbia,2020-11-14,4
District of Columbia,2020-11-21,12
District of Columbia,2020-11-28,8
District of Columbia,2020-12-05,17
District of Columbia,2020-12-12,18
District of Columbia,2020-12-19,17
District of Columbia,2020-12-26,32
District of Columbia,2021-01-02,30
District of Columbia,2021-01-09,21
District of Columbia,2021-01-16,34
District of Columbia,2021-01-23,23
District of Columbia,2021-01-30,39
District of Columbia,2021-02-06,38
District of Columbia,2021-02-13,32
District of Columbia,2021-02-20,15
District of Columbia,2021-02-27,16
District of Columbia,2021-03-06,20
District of Columbia,2021-03-13,10
District of Columbia,2021-03-20,9
District of Columbia,2021-03-27,7
District of Columbia,2021-04-03,14
Florida,2020-02-01,0
Florida,2020-02-08,0
Florida,2020-02-15,0
Florida,2020-02-22,0
Florida,2020-02-29,0
Florida,2020-03-07,0
Florida,2020-03-14,2
Florida,2020-03-21,11
Florida,2020-03-28,41
Florida,2020-04-04,141
Florida,2020-04-11,243
Florida,2020-04-18,310
Florida,2020-04-25,307
Florida,2020-05-02,309
Florida,2020-05-09,351
Florida,2020-05-16,249
Florida,2020-05-23,269
Florida,2020-05-30,214
Florida,2020-06-06,241
Florida,2020-06-13,237
Florida,2020-06-20,219
Florida,2020-06-27,246
Florida,2020-07-04,312
Florida,2020-07-11,495
Florida,2020-07-18,698
Florida,2020-07-25,882
Florida,2020-08-01,1245
Florida,2020-08-08,1087
Florida,2020-08-15,1236
Florida,2020-08-22,929
Florida,2020-08-29,831
Florida,2020-09-05,706
Florida,2020-09-12,789
Florida,2020-09-19,687
Florida,2020-09-26,735
Florida,2020-10-03,606
Florida,2020-10-10,558
Florida,2020-10-17,731
Florida,2020-10-24,500
Florida,2020-10-31,344
Florida,2020-11-07,339
Florida,2020-11-14,389
Florida,2020-11-21,441
Florida,2020-11-28,512
Florida,2020-12-05,642
Florida,2020-12-12,701
Florida,2020-12-19,688
Florida,2020-12-26,662
Florida,2021-01-02,755
Florida,2021-01-09,914
Florida,2021-01-16,1200
Florida,2021-01-23,1160
Florida,2021-01-30,1196
Florida,2021-02-06,1239
Florida,2021-02-13,1084
Florida,2021-02-20,1130
Florida,2021-02-27,921
Florida,2021-03-06,886
Florida,2021-03-13,605
Florida,2021-03-20,488
Florida,2021-03-27,429
Florida,2021-04-03,510
Georgia,2020-02-01,0
Georgia,2020-02-08,0
Georgia,2020-02-15,0
Georgia,2020-02-22,0
Georgia,2020-02-29,0
Georgia,2020-03-07,0
Georgia,2020-03-14,1
Georgia,2020-03-21,19
Georgia,2020-03-28,49
Georgia,2020-04-04,132
Georgia,2020-04-11,228
Georgia,2020-04-18,244
Georgia,2020-04-25,234
Georgia,2020-05-02,270
Georgia,2020-05-09,226
Georgia,2020-05-16,195
Georgia,2020-05-23,224
Georgia,2020-05-30,182
Georgia,2020-06-06,174
Georgia,2020-06-13,269
Georgia,2020-06-20,195
Georgia,2020-06-27,134
Georgia,2020-07-04,81
Georgia,2020-07-11,139
Georgia,2020-07-18,173
Georgia,2020-07-25,325
Georgia,2020-08-01,331
Georgia,2020-08-08,361
Georgia,2020-08-15,483
Georgia,2020-08-22,423
Georgia,2020-08-29,484
Georgia,2020-09-05,401
Georgia,2020-09-12,310
Georgia,2020-09-19,312
Georgia,2020-09-26,315
Georgia,2020-10-03,219
Georgia,2020-10-10,260
Georgia,2020-10-17,214
Georgia,2020-10-24,201
Georgia,2020-10-31,171
Georgia,2020-11-07,668
Georgia,2020-11-14,309
Georgia,2020-11-21,223
Georgia,2020-11-28,245
Georgia,2020-12-05,369
Georgia,2020-12-12,282
Georgia,2020-12-19,306
Georgia,2020-12-26,304
Georgia,2021-01-02,275
Georgia,2021-01-09,497
Georgia,2021-01-16,834
Georgia,2021-01-23,955
Georgia,2021-01-30,950
Georgia,2021-02-06,894
Georgia,2021-02-13,760
Georgia,2021-02-20,892
Georgia,2021-02-27,552
Georgia,2021-03-06,611
Georgia,2021-03-13,311
Georgia,2021-03-20,314
Georgia,2021-03-27,396
Georgia,2021-04-03,284
Hawaii,2020-02-01,0
Hawaii,2020-02-08,0
Hawaii,2020-02-15,0
Hawaii,2020-02-22,0
Hawaii,2020-02-29,0
Hawaii,2020-03-07,0
Hawaii,2020-03-14,0
Hawaii,2020-03-21,0
Hawaii,2020-03-28,0
Hawaii,2020-04-04,3
Hawaii,2020-04-11,5
Hawaii,2020-04-18,1
Hawaii,2020-04-25,4
Hawaii,2020-05-02,3
Hawaii,2020-05-09,1
Hawaii,2020-05-16,0
Hawaii,2020-05-23,0
Hawaii,2020-05-30,0
Hawaii,2020-06-06,0
Hawaii,2020-06-13,0
Hawaii,2020-06-20,0
Hawaii,2020-06-27,1
Hawaii,2020-07-04,1
Hawaii,2020-07-11,0
Hawaii,2020-07-18,5
Hawaii,2020-07-25,2
Hawaii,2020-08-01,0
Hawaii,2020-08-08,5
Hawaii,2020-08-15,9
Hawaii,2020-08-22,7
Hawaii,2020-08-29,15
Hawaii,2020-09-05,22
Hawaii,2020-09-12,13
Hawaii,2020-09-19,23
Hawaii,2020-09-26,11
Hawaii,2020-10-03,22
Hawaii,2020-10-10,15
Hawaii,2020-10-17,18
Hawaii,2020-10-24,26
Hawaii,2020-10-31,7
Hawaii,2020-11-07,1
Hawaii,2020-11-14,2
Hawaii,2020-11-21,9
Hawaii,2020-11-28,9
Hawaii,2020-12-05,21
Hawaii,2020-12-12,10
Hawaii,2020-12-19,10
Hawaii,2020-12-26,4
Hawaii,2021-01-02,4
Hawaii,2021-01-09,19
Hawaii,2021-01-16,12
Hawaii,2021-01-23,16
Hawaii,2021-01-30,71
Hawaii,2021-02-06,9
Hawaii,2021-02-13,9
Hawaii,2021-02-20,5
Hawaii,2021-02-27,9
Hawaii,2021-03-06,5
Hawaii,2021-03-13,6
Hawaii,2021-03-20,3
Hawaii,2021-03-27,9
Hawaii,2021-04-03,5
Idaho,2020-02-01,0
Idaho,2020-02-08,0
Idaho,2020-02-15,0
Idaho,2020-02-22,0
Idaho,2020-02-29,0
Idaho,2020-03-07,0
Idaho,2020-03-14,0
Idaho,2020-03-21,0
Idaho,2020-03-28,4
Idaho,2020-04-04,6
Idaho,2020-04-11,15
Idaho,2020-04-18,18
Idaho,2020-04-25,13
Idaho,2020-05-02,8
Idaho,2020-05-09,3
Idaho,2020-05-16,6
Idaho,2020-05-23,6
Idaho,2020-05-30,3
Idaho,2020-06-06,1
Idaho,2020-06-13,4
Idaho,2020-06-20,2
Idaho,2020-06-27,2
Idaho,2020-07-04,2
Idaho,2020-07-11,9
Idaho,2020-07-18,17
Idaho,2020-07-25,27
Idaho,2020-08-01,51
Idaho,2020-08-08,38
Idaho,2020-08-15,34
Idaho,2020-08-22,37
Idaho,2020-08-29,52
Idaho,2020-09-05,26
Idaho,2020-09-12,31
Idaho,2020-09-19,26
Idaho,2020-09-26,19
Idaho,2020-10-03,20
Idaho,2020-10-10,27
Idaho,2020-10-17,22
Idaho,2020-10-24,43
Idaho,2020-10-31,57
Idaho,2020-11-07,54
Idaho,2020-11-14,76
Idaho,2020-11-21,88
Idaho,2020-11-28,66
Idaho,2020-12-05,119
Idaho,2020-12-12,137
Idaho,2020-12-19,106
Idaho,2020-12-26,79
Idaho,2021-01-02,94
Idaho,2021-01-09,80
Idaho,2021-01-16,77
Idaho,2021-01-23,63
Idaho,2021-01-30,57
Idaho,2021-02-06,42
Idaho,2021-02-13,36
Idaho,2021-02-20,23
Idaho,2021-02-27,34
Idaho,2021-03-06,19
Idaho,2021-03-13,31
Idaho,2021-03-20,31
Idaho,2021-03-27,13
Idaho,2021-04-03,12
Illinois,2020-02-01,0
Illinois,2020-02-08,0
Illinois,2020-02-15,0
Illinois,2020-02-22,0
Illinois,2020-02-29,0
Illinois,2020-03-07,0
Illinois,2020-03-14,0
Illinois,2020-03-21,6
Illinois,2020-03-28,41
Illinois,2020-04-04,197
Illinois,2020-04-11,433
Illinois,2020-04-18,582
Illinois,2020-04-25,616
Illinois,2020-05-02,684
Illinois,2020-05-09,790
Illinois,2020-05-16,780
Illinois,2020-05-23,661
Illinois,2020-05-30,540
Illinois,2020-06-06,534
Illinois,2020-06-13,425
Illinois,2020-06-20,336
Illinois,2020-06-27,248
Illinois,2020-07-04,141
Illinois,2020-07-11,355
Illinois,2020-07-18,114
Illinois,2020-07-25,106
Illinois,2020-08-01,111
Illinois,2020-08-08,140
Illinois,2020-08-15,97
Illinois,2020-08-22,146
Illinois,2020-08-29,134
Illinois,2020-09-05,168
Illinois,2020-09-12,142
Illinois,2020-09-19,145
Illinois,2020-09-26,160
Illinois,2020-10-03,191
Illinois,2020-10-10,198
Illinois,2020-10-17,231
Illinois,2020-10-24,299
Illinois,2020-10-31,289
Illinois,2020-11-07,448
Illinois,2020-11-14,600
Illinois,2020-11-21,864
Illinois,2020-11-28,886
Illinois,2020-12-05,1179
Illinois,2020-12-12,1215
Illinois,2020-12-19,1094
Illinois,2020-12-26,898
Illinois,2021-01-02,993
Illinois,2021-01-09,993
Illinois,2021-01-16,810
Illinois,2021-01-23,625
Illinois,2021-01-30,568
Illinois,2021-02-06,463
Illinois,2021-02-13,411
Illinois,2021-02-20,339
Illinois,2021-02-27,284
Illinois,2021-03-06,293
Illinois,2021-03-13,186
Illinois,2021-03-20,140
Illinois,2021-03-27,169
Illinois,2021-04-03,137
Indiana,2020-02-01,0
Indiana,2020-02-08,0
Indiana,2020-02-15,0
Indiana,2020-02-22,0
Indiana,2020-02-29,0
Indiana,2020-03-07,0
Indiana,2020-03-14,0
Indiana,2020-03-21,13
Indiana,2020-03-28,45
Indiana,2020-04-04,155
Indiana,2020-04-11,206
Indiana,2020-04-18,246
Indiana,2020-04-25,293
Indiana,2020-05-02,284
Indiana,2020-05-09,253
Indiana,2020-05-16,250
Indiana,2020-05-23,215
Indiana,2020-05-30,136
Indiana,2020-06-06,137
Indiana,2020-06-13,118
Indiana,2020-06-20,114
Indiana,2020-06-27,76
Indiana,2020-07-04,66
Indiana,2020-07-11,74
Indiana,2020-07-18,67
Indiana,2020-07-25,77
Indiana,2020-08-01,74
Indiana,2020-08-08,75
Indiana,2020-08-15,94
Indiana,2020-08-22,96
Indiana,2020-08-29,77
Indiana,2020-09-05,70
Indiana,2020-09-12,81
Indiana,2020-09-19,89
Indiana,2020-09-26,100
Indiana,2020-10-03,124
Indiana,2020-10-10,126
Indiana,2020-10-17,194
Indiana,2020-10-24,209
Indiana,2020-10-31,270
Indiana,2020-11-07,324
Indiana,2020-11-14,363
Indiana,2020-11-21,506
Indiana,2020-11-28,573
Indiana,2020-12-05,629
Indiana,2020-12-12,701
Indiana,2020-12-19,694
Indiana,2020-12-26,610
Indiana,2021-01-02,658
Indiana,2021-01-09,527
Indiana,2021-01-16,445
Indiana,2021-01-23,416
Indiana,2021-01-30,312
Indiana,2021-02-06,490
Indiana,2021-02-13,397
Indiana,2021-02-20,187
Indiana,2021-02-27,220
Indiana,2021-03-06,170
Indiana,2021-03-13,120
Indiana,2021-03-20,80
Indiana,2021-03-27,85
Indiana,2021-04-03,63
Iowa,2020-02-01,0
Iowa,2020-02-08,0
Iowa,2020-02-15,0
Iowa,2020-02-22,0
Iowa,2020-02-29,0
Iowa,2020-03-07,0
Iowa,2020-03-14,0
Iowa,2020-03-21,0
Iowa,2020-03-28,3
Iowa,2020-04-04,11
Iowa,2020-04-11,20
Iowa,2020-04-18,40
Iowa,2020-04-25,38
Iowa,2020-05-02,63
Iowa,2020-05-09,77
Iowa,2020-05-16,94
Iowa,2020-05-23,100
Iowa,2020-05-30,85
Iowa,2020-06-06,68
Iowa,2020-06-13,51
Iowa,2020-06-20,31
Iowa,2020-06-27,23
Iowa,2020-07-04,17
Iowa,2020-07-11,27
Iowa,2020-07-18,41
Iowa,2020-07-25,37
Iowa,2020-08-01,48
Iowa,2020-08-08,53
Iowa,2020-08-15,48
Iowa,2020-08-22,58
Iowa,2020-08-29,67
Iowa,2020-09-05,64
Iowa,2020-09-12,54
Iowa,2020-09-19,47
Iowa,2020-09-26,49
Iowa,2020-10-03,67
Iowa,2020-10-10,78
Iowa,2020-10-17,69
Iowa,2020-10-24,106
Iowa,2020-10-31,82
Iowa,2020-11-07,126
Iowa,2020-11-14,143
Iowa,2020-11-21,206
Iowa,2020-11-28,184
Iowa,2020-12-05,307
Iowa,2020-12-12,526
Iowa,2020-12-19,324
Iowa,2020-12-26,211
Iowa,2021-01-02,203
Iowa,2021-01-09,181
Iowa,2021-01-16,194
Iowa,2021-01-23,165
Iowa,2021-01-30,165
Iowa,2021-02-06,457
Iowa,2021-02-13,128
Iowa,2021-02-20,100
Iowa,2021-02-27,134
Iowa,2021-03-06,82
Iowa,2021-03-13,81
Iowa,2021-03-20,41
Iowa,2021-03-27,44
